flow_id,src,dst,fct_s,credits_sent,data_packets_received,retransmissions
11,1,4,0.0137,111,43,36
14,1,7,0.015638,121,43,26
33,4,5,0.016722,126,43,37
34,4,6,0.012804,107,43,30
54,7,4,0.015888,122,43,42
