flow_id,src,dst,credits_sent,credits_received,credits_admitted,credits_dropped,data_packets_sent,data_packets_received,fct_s,credit_efficiency,avg_credit_rate,retransmissions,timeouts
1,0,16,1749,1749,38013,0,1248,1024,0.145103,0.5854774156660949,12053.50681929388,224,1248
2,1,16,1751,1751,38013,0,1192,1024,0.145433,0.584808680753855,12039.908411433444,168,1192
3,2,16,1748,1748,38013,0,1277,1024,0.144899,0.585812356979405,12063.57531798011,253,1274
4,3,16,1750,1750,38013,0,1252,1024,0.145327,0.5851428571428572,12041.80916140841,228,1250
5,4,16,1718,1718,38013,0,1168,1024,0.138904,0.5960419091967404,12368.25433392847,144,1165
6,5,16,1750,1750,38013,0,1273,1024,0.145272,0.5851428571428572,12046.368192081061,249,1271
7,6,16,1696,1695,38013,0,1199,1024,0.134543,0.6037735849056604,12605.635373077752,175,1199
8,7,16,1750,1750,38013,0,1236,1024,0.145213,0.5851428571428572,12051.262628001625,212,1236
9,8,16,1668,1668,38013,0,1229,1024,0.12892,0.6139088729016786,12938.25628296618,205,1223
10,9,16,1749,1749,38013,0,1193,1024,0.145162,0.5854774156660949,12048.60776236205,169,1192
11,10,16,1658,1658,38013,0,1263,1024,0.126843,0.617611580217129,13071.27709057654,239,1262
12,11,16,1749,1749,38013,0,1176,1024,0.145107,0.5854774156660949,12053.174553949842,152,1175
13,12,16,1657,1657,38013,0,1324,1024,0.126788,0.6179843089921545,13069.060163422404,300,1323
14,13,16,1749,1749,38013,0,1153,1024,0.145052,0.5854774156660949,12057.74480875824,129,1152
15,14,16,1657,1657,38013,0,1347,1024,0.126733,0.6179843089921545,13074.731916706776,323,1346
16,15,16,1749,1749,38013,0,1205,1024,0.145001,0.5854774156660949,12061.985779408418,181,1204
