flow_id,src,dst,credits_sent,credits_received,credits_admitted,credits_dropped,data_packets_sent,data_packets_received,fct_s,credit_efficiency,avg_credit_rate,retransmissions,timeouts
1,0,8,91,88,1322,0,77,64,0.005495,0.7032967032967034,16560.509554140128,13,72
2,1,8,107,90,1322,0,77,64,0.008707,0.5981308411214953,12288.96290341105,13,76
3,2,8,298,76,1322,0,72,64,0.046877,0.21476510067114093,6357.062098683789,8,71
4,3,8,96,84,1322,0,68,64,0.006414,0.6666666666666666,14967.259120673525,4,65
5,4,8,94,84,1322,0,69,64,0.006134,0.6808510638297872,15324.421258558854,5,66
6,5,8,98,83,1322,0,70,64,0.006833,0.6530612244897959,14342.163032343042,6,69
7,6,8,89,85,1322,0,70,64,0.005008,0.7191011235955056,17771.565495207666,6,69
8,7,8,100,83,1322,0,72,64,0.007395,0.64,13522.65043948614,8,70
