distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
4,0,265,905,905,225,40,9,756,31,0,158,0,0,0,0
4,1,265,905,905,225,40,9,756,31,0,158,0,0,0,0
4,2,265,905,905,225,40,9,756,31,0,158,0,0,0,0
4,3,265,905,905,225,40,9,756,31,0,158,0,0,0,0
4,4,265,905,905,225,40,9,756,31,0,158,0,0,0,0
4,5,265,905,905,225,40,9,756,31,0,158,0,0,0,0
4,6,265,905,905,225,40,9,756,31,0,158,0,0,0,0
4,7,265,905,905,225,40,9,756,31,0,158,0,0,0,0
