distance,flow_id,name,sender,receiver,replica,start_s,data_path,credit_path,credit_hops,fct_s,completed,goodput_bps,credits_sent,credits_received,credit_delivery_ratio,credit_loss_proxy,credit_tax,lost_credit_hop_cost_proxy,credit_hop_cost_sent,credit_hop_cost_received,data_packets_sent,data_packets_received,duplicate_credits,duplicate_data,timeouts,retransmissions
4,1,d4-s0-r4-f000,0,4,0,0.000105,0->1->2->3->4,4->5->6->7->0,4,nan,False,nan,21,21,1.0,0,1.9090909090909092,0,84,84,16,11,0,0,0,0
4,2,d4-s0-r4-f001,0,4,1,0.000105,0->1->2->3->4,4->5->6->7->0,4,nan,False,nan,19,19,1.0,0,1.4615384615384615,0,76,76,16,13,0,0,0,0
4,3,d4-s0-r4-f002,0,4,2,0.000105,0->1->2->3->4,4->5->6->7->0,4,nan,False,nan,30,26,0.8666666666666667,4,15.0,16,120,104,3,2,9,0,0,0
4,4,d4-s0-r4-f003,0,4,3,0.000105,0->1->2->3->4,4->5->6->7->0,4,nan,False,nan,30,24,0.8,6,15.0,24,120,96,2,2,10,0,0,0
4,5,d4-s0-r4-f004,0,4,4,0.000105,0->1->2->3->4,4->5->6->7->0,4,nan,False,nan,31,24,0.7741935483870968,7,31.0,28,124,96,1,1,9,0,0,0
4,6,d4-s0-r4-f005,0,4,5,0.000105,0->1->2->3->4,4->5->6->7->0,4,nan,False,nan,32,24,0.75,8,,32,128,96,0,0,8,0,0,0
4,7,d4-s0-r4-f006,0,4,6,0.000105,0->1->2->3->4,4->5->6->7->0,4,nan,False,nan,28,23,0.8214285714285714,5,7.0,20,112,92,4,4,7,0,0,0
4,8,d4-s0-r4-f007,0,4,7,0.000105,0->1->2->3->4,4->5->6->7->0,4,nan,False,nan,29,23,0.7931034482758621,6,9.666666666666666,24,116,92,3,3,7,0,0,0
4,9,d4-s1-r5-f000,1,5,0,0.000105,1->2->3->4->5,5->6->7->0->1,4,nan,False,nan,21,21,1.0,0,1.9090909090909092,0,84,84,16,11,0,0,0,0
4,10,d4-s1-r5-f001,1,5,1,0.000105,1->2->3->4->5,5->6->7->0->1,4,nan,False,nan,19,18,0.9473684210526315,1,1.4615384615384615,4,76,72,16,13,0,0,0,0
4,11,d4-s1-r5-f002,1,5,2,0.000105,1->2->3->4->5,5->6->7->0->1,4,nan,False,nan,30,27,0.9,3,15.0,12,120,108,3,2,10,0,0,0
4,12,d4-s1-r5-f003,1,5,3,0.000105,1->2->3->4->5,5->6->7->0->1,4,nan,False,nan,30,26,0.8666666666666667,4,15.0,16,120,104,2,2,10,0,0,0
4,13,d4-s1-r5-f004,1,5,4,0.000105,1->2->3->4->5,5->6->7->0->1,4,nan,False,nan,31,25,0.8064516129032258,6,31.0,24,124,100,1,1,9,0,0,0
4,14,d4-s1-r5-f005,1,5,5,0.000105,1->2->3->4->5,5->6->7->0->1,4,nan,False,nan,32,25,0.78125,7,,28,128,100,0,0,9,0,0,0
4,15,d4-s1-r5-f006,1,5,6,0.000105,1->2->3->4->5,5->6->7->0->1,4,nan,False,nan,28,22,0.7857142857142857,6,7.0,24,112,88,4,4,6,0,0,0
4,16,d4-s1-r5-f007,1,5,7,0.000105,1->2->3->4->5,5->6->7->0->1,4,nan,False,nan,29,23,0.7931034482758621,6,9.666666666666666,24,116,92,3,3,7,0,0,0
4,17,d4-s2-r6-f000,2,6,0,0.000105,2->3->4->5->6,6->7->0->1->2,4,nan,False,nan,21,21,1.0,0,1.9090909090909092,0,84,84,16,11,0,0,0,0
4,18,d4-s2-r6-f001,2,6,1,0.000105,2->3->4->5->6,6->7->0->1->2,4,nan,False,nan,19,19,1.0,0,1.4615384615384615,0,76,76,16,13,0,0,0,0
4,19,d4-s2-r6-f002,2,6,2,0.000105,2->3->4->5->6,6->7->0->1->2,4,nan,False,nan,30,25,0.8333333333333334,5,15.0,20,120,100,3,2,8,0,0,0
4,20,d4-s2-r6-f003,2,6,3,0.000105,2->3->4->5->6,6->7->0->1->2,4,nan,False,nan,30,26,0.8666666666666667,4,15.0,16,120,104,2,2,10,0,0,0
4,21,d4-s2-r6-f004,2,6,4,0.000105,2->3->4->5->6,6->7->0->1->2,4,nan,False,nan,31,25,0.8064516129032258,6,31.0,24,124,100,1,1,9,0,0,0
4,22,d4-s2-r6-f005,2,6,5,0.000105,2->3->4->5->6,6->7->0->1->2,4,nan,False,nan,32,25,0.78125,7,,28,128,100,0,0,9,0,0,0
4,23,d4-s2-r6-f006,2,6,6,0.000105,2->3->4->5->6,6->7->0->1->2,4,nan,False,nan,28,22,0.7857142857142857,6,7.0,24,112,88,4,4,6,0,0,0
4,24,d4-s2-r6-f007,2,6,7,0.000105,2->3->4->5->6,6->7->0->1->2,4,nan,False,nan,29,22,0.7586206896551724,7,9.666666666666666,28,116,88,3,3,6,0,0,0
4,25,d4-s3-r7-f000,3,7,0,0.000105,3->4->5->6->7,7->0->1->2->3,4,nan,False,nan,21,21,1.0,0,1.9090909090909092,0,84,84,16,11,0,0,0,0
4,26,d4-s3-r7-f001,3,7,1,0.000105,3->4->5->6->7,7->0->1->2->3,4,nan,False,nan,19,19,1.0,0,1.4615384615384615,0,76,76,16,13,0,0,0,0
4,27,d4-s3-r7-f002,3,7,2,0.000105,3->4->5->6->7,7->0->1->2->3,4,nan,False,nan,30,26,0.8666666666666667,4,15.0,16,120,104,3,2,9,0,0,0
4,28,d4-s3-r7-f003,3,7,3,0.000105,3->4->5->6->7,7->0->1->2->3,4,nan,False,nan,30,25,0.8333333333333334,5,15.0,20,120,100,2,2,9,0,0,0
4,29,d4-s3-r7-f004,3,7,4,0.000105,3->4->5->6->7,7->0->1->2->3,4,nan,False,nan,31,24,0.7741935483870968,7,31.0,28,124,96,1,1,8,0,0,0
4,30,d4-s3-r7-f005,3,7,5,0.000105,3->4->5->6->7,7->0->1->2->3,4,nan,False,nan,32,25,0.78125,7,,28,128,100,0,0,9,0,0,0
4,31,d4-s3-r7-f006,3,7,6,0.000105,3->4->5->6->7,7->0->1->2->3,4,nan,False,nan,28,20,0.7142857142857143,8,7.0,32,112,80,4,4,6,0,0,0
4,32,d4-s3-r7-f007,3,7,7,0.000105,3->4->5->6->7,7->0->1->2->3,4,nan,False,nan,29,22,0.7586206896551724,7,9.666666666666666,28,116,88,3,3,6,0,0,0
4,33,d4-s4-r0-f000,4,0,0,0.000105,4->5->6->7->0,0->1->2->3->4,4,nan,False,nan,21,21,1.0,0,1.9090909090909092,0,84,84,16,11,0,0,0,0
4,34,d4-s4-r0-f001,4,0,1,0.000105,4->5->6->7->0,0->1->2->3->4,4,nan,False,nan,19,19,1.0,0,1.4615384615384615,0,76,76,16,13,0,0,0,0
4,35,d4-s4-r0-f002,4,0,2,0.000105,4->5->6->7->0,0->1->2->3->4,4,nan,False,nan,30,26,0.8666666666666667,4,15.0,16,120,104,3,2,10,0,0,0
4,36,d4-s4-r0-f003,4,0,3,0.000105,4->5->6->7->0,0->1->2->3->4,4,nan,False,nan,30,26,0.8666666666666667,4,15.0,16,120,104,2,2,10,0,0,0
4,37,d4-s4-r0-f004,4,0,4,0.000105,4->5->6->7->0,0->1->2->3->4,4,nan,False,nan,31,25,0.8064516129032258,6,31.0,24,124,100,1,1,9,0,0,0
4,38,d4-s4-r0-f005,4,0,5,0.000105,4->5->6->7->0,0->1->2->3->4,4,nan,False,nan,32,23,0.71875,9,,36,128,92,0,0,7,0,0,0
4,39,d4-s4-r0-f006,4,0,6,0.000105,4->5->6->7->0,0->1->2->3->4,4,nan,False,nan,28,22,0.7857142857142857,6,7.0,24,112,88,4,4,7,0,0,0
4,40,d4-s4-r0-f007,4,0,7,0.000105,4->5->6->7->0,0->1->2->3->4,4,nan,False,nan,29,21,0.7241379310344828,8,9.666666666666666,32,116,84,3,3,5,0,0,0
4,41,d4-s5-r1-f000,5,1,0,0.000105,5->6->7->0->1,1->2->3->4->5,4,nan,False,nan,21,21,1.0,0,1.9090909090909092,0,84,84,16,11,0,0,0,0
4,42,d4-s5-r1-f001,5,1,1,0.000105,5->6->7->0->1,1->2->3->4->5,4,nan,False,nan,19,19,1.0,0,1.4615384615384615,0,76,76,16,13,0,0,0,0
4,43,d4-s5-r1-f002,5,1,2,0.000105,5->6->7->0->1,1->2->3->4->5,4,nan,False,nan,30,24,0.8,6,15.0,24,120,96,3,2,8,0,0,0
4,44,d4-s5-r1-f003,5,1,3,0.000105,5->6->7->0->1,1->2->3->4->5,4,nan,False,nan,30,25,0.8333333333333334,5,15.0,20,120,100,2,2,9,0,0,0
4,45,d4-s5-r1-f004,5,1,4,0.000105,5->6->7->0->1,1->2->3->4->5,4,nan,False,nan,31,22,0.7096774193548387,9,31.0,36,124,88,1,1,6,0,0,0
4,46,d4-s5-r1-f005,5,1,5,0.000105,5->6->7->0->1,1->2->3->4->5,4,nan,False,nan,32,23,0.71875,9,,36,128,92,0,0,8,0,0,0
4,47,d4-s5-r1-f006,5,1,6,0.000105,5->6->7->0->1,1->2->3->4->5,4,nan,False,nan,28,23,0.8214285714285714,5,7.0,20,112,92,4,4,7,0,0,0
4,48,d4-s5-r1-f007,5,1,7,0.000105,5->6->7->0->1,1->2->3->4->5,4,nan,False,nan,29,22,0.7586206896551724,7,9.666666666666666,28,116,88,3,3,6,0,0,0
4,49,d4-s6-r2-f000,6,2,0,0.000105,6->7->0->1->2,2->3->4->5->6,4,nan,False,nan,21,21,1.0,0,1.9090909090909092,0,84,84,16,11,0,0,0,0
4,50,d4-s6-r2-f001,6,2,1,0.000105,6->7->0->1->2,2->3->4->5->6,4,nan,False,nan,19,19,1.0,0,1.4615384615384615,0,76,76,16,13,0,0,0,0
4,51,d4-s6-r2-f002,6,2,2,0.000105,6->7->0->1->2,2->3->4->5->6,4,nan,False,nan,30,26,0.8666666666666667,4,15.0,16,120,104,3,2,10,0,0,0
4,52,d4-s6-r2-f003,6,2,3,0.000105,6->7->0->1->2,2->3->4->5->6,4,nan,False,nan,30,23,0.7666666666666667,7,15.0,28,120,92,2,2,7,0,0,0
4,53,d4-s6-r2-f004,6,2,4,0.000105,6->7->0->1->2,2->3->4->5->6,4,nan,False,nan,31,23,0.7419354838709677,8,31.0,32,124,92,1,1,8,0,0,0
4,54,d4-s6-r2-f005,6,2,5,0.000105,6->7->0->1->2,2->3->4->5->6,4,nan,False,nan,32,21,0.65625,11,,44,128,84,0,0,7,0,0,0
4,55,d4-s6-r2-f006,6,2,6,0.000105,6->7->0->1->2,2->3->4->5->6,4,nan,False,nan,28,21,0.75,7,7.0,28,112,84,4,4,5,0,0,0
4,56,d4-s6-r2-f007,6,2,7,0.000105,6->7->0->1->2,2->3->4->5->6,4,nan,False,nan,29,22,0.7586206896551724,7,9.666666666666666,28,116,88,3,3,6,0,0,0
4,57,d4-s7-r3-f000,7,3,0,0.000105,7->0->1->2->3,3->4->5->6->7,4,nan,False,nan,21,21,1.0,0,1.9090909090909092,0,84,84,16,11,0,0,0,0
4,58,d4-s7-r3-f001,7,3,1,0.000105,7->0->1->2->3,3->4->5->6->7,4,nan,False,nan,19,19,1.0,0,1.4615384615384615,0,76,76,16,13,0,0,0,0
4,59,d4-s7-r3-f002,7,3,2,0.000105,7->0->1->2->3,3->4->5->6->7,4,nan,False,nan,30,24,0.8,6,15.0,24,120,96,3,2,8,0,0,0
4,60,d4-s7-r3-f003,7,3,3,0.000105,7->0->1->2->3,3->4->5->6->7,4,nan,False,nan,30,24,0.8,6,15.0,24,120,96,2,2,9,0,0,0
4,61,d4-s7-r3-f004,7,3,4,0.000105,7->0->1->2->3,3->4->5->6->7,4,nan,False,nan,31,24,0.7741935483870968,7,31.0,28,124,96,1,1,9,0,0,0
4,62,d4-s7-r3-f005,7,3,5,0.000105,7->0->1->2->3,3->4->5->6->7,4,nan,False,nan,32,24,0.75,8,,32,128,96,0,0,8,0,0,0
4,63,d4-s7-r3-f006,7,3,6,0.000105,7->0->1->2->3,3->4->5->6->7,4,nan,False,nan,28,22,0.7857142857142857,6,7.0,24,112,88,4,4,6,0,0,0
4,64,d4-s7-r3-f007,7,3,7,0.000105,7->0->1->2->3,3->4->5->6->7,4,nan,False,nan,29,22,0.7586206896551724,7,9.666666666666666,28,116,88,3,3,6,0,0,0
