flow_id,name,group_name,receiver,sender,priority_class,start_s,priority_rank,credit_path,credit_hops,fct_s,completed,goodput_bps,credits_sent,credits_received,credit_delivery_ratio,credit_loss_proxy,credit_tax_proxy,credit_hop_cost_sent,credit_hop_cost_received,data_packets_sent,data_packets_received,duplicate_credits,duplicate_data,timeouts,retransmissions
16,r10-long-s12-f007,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,32,13,0.40625,19,76,128,52,0,0,0,0,0,0
17,r11-long-s7-f000,r11-long-s7,11,7,long,0.000105,0,11->9->8->7,3,1.9e-05,True,6898526315.789474,16,16,1.0,0,0,48,48,16,16,0,0,0,0
18,r11-long-s7-f001,r11-long-s7,11,7,long,0.000105,0,11->9->8->7,3,2e-05,True,6553599999.999999,16,16,1.0,0,0,48,48,16,16,0,0,0,0
19,r11-long-s7-f002,r11-long-s7,11,7,long,0.000105,0,11->9->8->7,3,nan,False,nan,29,24,0.8275862068965517,5,15,87,72,3,3,8,0,0,0
20,r11-long-s7-f003,r11-long-s7,11,7,long,0.000105,0,11->9->8->7,3,nan,False,nan,30,26,0.8666666666666667,4,12,90,78,2,2,10,0,0,0
21,r11-long-s7-f004,r11-long-s7,11,7,long,0.000105,0,11->9->8->7,3,nan,False,nan,31,25,0.8064516129032258,6,18,93,75,1,1,10,0,0,0
22,r11-long-s7-f005,r11-long-s7,11,7,long,0.000105,0,11->9->8->7,3,nan,False,nan,32,25,0.78125,7,21,96,75,0,0,9,0,0,0
23,r11-long-s7-f006,r11-long-s7,11,7,long,0.000105,0,11->9->8->7,3,nan,False,nan,28,22,0.7857142857142857,6,18,84,66,4,4,7,0,0,0
24,r11-long-s7-f007,r11-long-s7,11,7,long,0.000105,0,11->9->8->7,3,nan,False,nan,29,22,0.7586206896551724,7,21,87,66,3,3,9,0,0,0
25,r12-long-s4-f000,r12-long-s4,12,4,long,0.000105,0,12->3->7->8->4,4,2.3e-05,True,5698782608.695652,16,16,1.0,0,0,64,64,16,16,0,0,0,0
26,r12-long-s4-f001,r12-long-s4,12,4,long,0.000105,0,12->3->7->8->4,4,2.4e-05,True,5461333333.333333,16,16,1.0,0,0,64,64,16,16,0,0,0,0
27,r12-long-s4-f002,r12-long-s4,12,4,long,0.000105,0,12->3->7->8->4,4,nan,False,nan,30,26,0.8666666666666667,4,16,120,104,3,2,9,0,0,0
28,r12-long-s4-f003,r12-long-s4,12,4,long,0.000105,0,12->3->7->8->4,4,nan,False,nan,30,26,0.8666666666666667,4,16,120,104,2,2,10,0,0,0
29,r12-long-s4-f004,r12-long-s4,12,4,long,0.000105,0,12->3->7->8->4,4,nan,False,nan,31,26,0.8387096774193549,5,20,124,104,1,1,10,0,0,0
30,r12-long-s4-f005,r12-long-s4,12,4,long,0.000105,0,12->3->7->8->4,4,nan,False,nan,32,25,0.78125,7,28,128,100,0,0,9,0,0,0
31,r12-long-s4-f006,r12-long-s4,12,4,long,0.000105,0,12->3->7->8->4,4,nan,False,nan,28,22,0.7857142857142857,6,24,112,88,4,4,6,0,0,0
32,r12-long-s4-f007,r12-long-s4,12,4,long,0.000105,0,12->3->7->8->4,4,nan,False,nan,29,22,0.7586206896551724,7,28,116,88,3,3,6,0,0,0
33,r2-short-s6-f000,r2-short-s6,2,6,short,0.000107,1,2->6,1,9e-06,True,14563555555.555555,16,16,1.0,0,0,16,16,16,16,0,0,0,0
34,r2-short-s6-f001,r2-short-s6,2,6,short,0.000107,1,2->6,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,0,16,16,16,16,0,0,0,0
35,r2-short-s6-f002,r2-short-s6,2,6,short,0.000107,1,2->6,1,nan,False,nan,29,24,0.8275862068965517,5,5,29,24,3,3,8,0,0,0
36,r2-short-s6-f003,r2-short-s6,2,6,short,0.000107,1,2->6,1,nan,False,nan,30,26,0.8666666666666667,4,4,30,26,2,2,10,0,0,0
37,r2-short-s6-f004,r2-short-s6,2,6,short,0.000107,1,2->6,1,nan,False,nan,31,22,0.7096774193548387,9,9,31,22,1,1,7,0,0,0
38,r2-short-s6-f005,r2-short-s6,2,6,short,0.000107,1,2->6,1,nan,False,nan,32,23,0.71875,9,9,32,23,0,0,7,0,0,0
39,r2-short-s6-f006,r2-short-s6,2,6,short,0.000107,1,2->6,1,nan,False,nan,28,22,0.7857142857142857,6,6,28,22,4,4,7,0,0,0
40,r2-short-s6-f007,r2-short-s6,2,6,short,0.000107,1,2->6,1,nan,False,nan,29,23,0.7931034482758621,6,6,29,23,3,3,10,0,0,0
41,r10-short-s2-f000,r10-short-s2,10,2,short,0.000107,1,10->6->2,2,1.3e-05,True,10082461538.461538,16,16,1.0,0,0,32,32,16,16,0,0,0,0
42,r10-short-s2-f001,r10-short-s2,10,2,short,0.000107,1,10->6->2,2,1.6e-05,True,8192000000.0,16,16,1.0,0,0,32,32,16,16,0,0,0,0
43,r10-short-s2-f002,r10-short-s2,10,2,short,0.000107,1,10->6->2,2,nan,False,nan,29,24,0.8275862068965517,5,10,58,48,3,3,9,0,0,0
44,r10-short-s2-f003,r10-short-s2,10,2,short,0.000107,1,10->6->2,2,nan,False,nan,30,24,0.8,6,12,60,48,2,2,9,0,0,0
45,r10-short-s2-f004,r10-short-s2,10,2,short,0.000107,1,10->6->2,2,nan,False,nan,31,25,0.8064516129032258,6,12,62,50,1,1,9,0,0,0
46,r10-short-s2-f005,r10-short-s2,10,2,short,0.000107,1,10->6->2,2,nan,False,nan,32,24,0.75,8,16,64,48,0,0,8,0,0,0
47,r10-short-s2-f006,r10-short-s2,10,2,short,0.000107,1,10->6->2,2,nan,False,nan,28,23,0.8214285714285714,5,10,56,46,4,4,7,0,0,0
48,r10-short-s2-f007,r10-short-s2,10,2,short,0.000107,1,10->6->2,2,nan,False,nan,29,23,0.7931034482758621,6,12,58,46,3,3,10,0,0,0
49,r11-short-s9-f000,r11-short-s9,11,9,short,0.000107,1,11->9,1,9e-06,True,14563555555.555555,16,16,1.0,0,0,16,16,16,16,0,0,0,0
50,r11-short-s9-f001,r11-short-s9,11,9,short,0.000107,1,11->9,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,0,16,16,16,16,0,0,0,0
51,r11-short-s9-f002,r11-short-s9,11,9,short,0.000107,1,11->9,1,nan,False,nan,29,24,0.8275862068965517,5,5,29,24,3,3,8,0,0,0
52,r11-short-s9-f003,r11-short-s9,11,9,short,0.000107,1,11->9,1,nan,False,nan,30,24,0.8,6,6,30,24,2,2,9,0,0,0
53,r11-short-s9-f004,r11-short-s9,11,9,short,0.000107,1,11->9,1,nan,False,nan,31,25,0.8064516129032258,6,6,31,25,1,1,9,0,0,0
54,r11-short-s9-f005,r11-short-s9,11,9,short,0.000107,1,11->9,1,nan,False,nan,32,25,0.78125,7,7,32,25,0,0,9,0,0,0
55,r11-short-s9-f006,r11-short-s9,11,9,short,0.000107,1,11->9,1,nan,False,nan,28,22,0.7857142857142857,6,6,28,22,4,4,6,0,0,0
56,r11-short-s9-f007,r11-short-s9,11,9,short,0.000107,1,11->9,1,nan,False,nan,29,23,0.7931034482758621,6,6,29,23,3,3,10,0,0,0
57,r12-short-s3-f000,r12-short-s3,12,3,short,0.000107,1,12->3,1,9e-06,True,14563555555.555555,16,16,1.0,0,0,16,16,16,16,0,0,0,0
58,r12-short-s3-f001,r12-short-s3,12,3,short,0.000107,1,12->3,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,0,16,16,16,16,0,0,0,0
59,r12-short-s3-f002,r12-short-s3,12,3,short,0.000107,1,12->3,1,nan,False,nan,29,25,0.8620689655172413,4,4,29,25,3,3,9,0,0,0
60,r12-short-s3-f003,r12-short-s3,12,3,short,0.000107,1,12->3,1,nan,False,nan,30,26,0.8666666666666667,4,4,30,26,2,2,10,0,0,0
61,r12-short-s3-f004,r12-short-s3,12,3,short,0.000107,1,12->3,1,nan,False,nan,31,25,0.8064516129032258,6,6,31,25,1,1,9,0,0,0
62,r12-short-s3-f005,r12-short-s3,12,3,short,0.000107,1,12->3,1,nan,False,nan,32,24,0.75,8,8,32,24,0,0,8,0,0,0
63,r12-short-s3-f006,r12-short-s3,12,3,short,0.000107,1,12->3,1,nan,False,nan,28,23,0.8214285714285714,5,5,28,23,4,4,7,0,0,0
64,r12-short-s3-f007,r12-short-s3,12,3,short,0.000107,1,12->3,1,nan,False,nan,29,23,0.7931034482758621,6,6,29,23,3,3,10,0,0,0
