distance,flow_id,name,sender,receiver,replica,start_s,data_path,credit_path,credit_hops,fct_s,completed,goodput_bps,credits_sent,credits_received,credit_delivery_ratio,credit_loss_proxy,credit_tax,lost_credit_hop_cost_proxy,credit_hop_cost_sent,credit_hop_cost_received,data_packets_sent,data_packets_received,duplicate_credits,duplicate_data,timeouts,retransmissions
2,33,d2-s4-r6-f000,4,6,0,0.000105,4->5->6,6->5->4,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,34,d2-s4-r6-f001,4,6,1,0.000105,4->5->6,6->5->4,2,1.6e-05,True,8192000000.0,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,35,d2-s4-r6-f002,4,6,2,0.000105,4->5->6,6->5->4,2,nan,False,nan,30,27,0.9,3,15.0,6,60,54,3,2,10,0,0,0
2,36,d2-s4-r6-f003,4,6,3,0.000105,4->5->6,6->5->4,2,nan,False,nan,32,28,0.875,4,,8,64,56,2,0,11,0,0,0
2,37,d2-s4-r6-f004,4,6,4,0.000105,4->5->6,6->5->4,2,nan,False,nan,32,26,0.8125,6,,12,64,52,1,0,9,0,0,0
2,38,d2-s4-r6-f005,4,6,5,0.000105,4->5->6,6->5->4,2,nan,False,nan,32,24,0.75,8,,16,64,48,0,0,8,0,0,0
2,39,d2-s4-r6-f006,4,6,6,0.000105,4->5->6,6->5->4,2,nan,False,nan,30,22,0.7333333333333333,8,15.0,16,60,44,4,2,5,0,0,0
2,40,d2-s4-r6-f007,4,6,7,0.000105,4->5->6,6->5->4,2,nan,False,nan,29,22,0.7586206896551724,7,9.666666666666666,14,58,44,3,3,8,0,0,0
2,41,d2-s5-r7-f000,5,7,0,0.000105,5->6->7,7->6->5,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,42,d2-s5-r7-f001,5,7,1,0.000105,5->6->7,7->6->5,2,1.6e-05,True,8192000000.0,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,43,d2-s5-r7-f002,5,7,2,0.000105,5->6->7,7->6->5,2,nan,False,nan,30,26,0.8666666666666667,4,15.0,8,60,52,3,2,10,0,0,0
2,44,d2-s5-r7-f003,5,7,3,0.000105,5->6->7,7->6->5,2,nan,False,nan,32,26,0.8125,6,,12,64,52,2,0,9,0,0,0
2,45,d2-s5-r7-f004,5,7,4,0.000105,5->6->7,7->6->5,2,nan,False,nan,32,24,0.75,8,,16,64,48,1,0,7,0,0,0
2,46,d2-s5-r7-f005,5,7,5,0.000105,5->6->7,7->6->5,2,nan,False,nan,32,22,0.6875,10,,20,64,44,0,0,7,0,0,0
2,47,d2-s5-r7-f006,5,7,6,0.000105,5->6->7,7->6->5,2,nan,False,nan,30,24,0.8,6,15.0,12,60,48,4,2,6,0,0,0
2,48,d2-s5-r7-f007,5,7,7,0.000105,5->6->7,7->6->5,2,nan,False,nan,29,23,0.7931034482758621,6,9.666666666666666,12,58,46,3,3,8,0,0,0
2,49,d2-s6-r0-f000,6,0,0,0.000105,6->7->0,0->7->6,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,50,d2-s6-r0-f001,6,0,1,0.000105,6->7->0,0->7->6,2,1.6e-05,True,8192000000.0,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,51,d2-s6-r0-f002,6,0,2,0.000105,6->7->0,0->7->6,2,nan,False,nan,30,26,0.8666666666666667,4,15.0,8,60,52,3,2,9,0,0,0
2,52,d2-s6-r0-f003,6,0,3,0.000105,6->7->0,0->7->6,2,nan,False,nan,32,28,0.875,4,,8,64,56,2,0,10,0,0,0
2,53,d2-s6-r0-f004,6,0,4,0.000105,6->7->0,0->7->6,2,nan,False,nan,32,23,0.71875,9,,18,64,46,1,0,8,0,0,0
2,54,d2-s6-r0-f005,6,0,5,0.000105,6->7->0,0->7->6,2,nan,False,nan,32,22,0.6875,10,,20,64,44,0,0,7,0,0,0
2,55,d2-s6-r0-f006,6,0,6,0.000105,6->7->0,0->7->6,2,nan,False,nan,30,21,0.7,9,15.0,18,60,42,4,2,4,0,0,0
2,56,d2-s6-r0-f007,6,0,7,0.000105,6->7->0,0->7->6,2,nan,False,nan,29,22,0.7586206896551724,7,9.666666666666666,14,58,44,3,3,7,0,0,0
2,57,d2-s7-r1-f000,7,1,0,0.000105,7->0->1,1->0->7,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,58,d2-s7-r1-f001,7,1,1,0.000105,7->0->1,1->0->7,2,1.6e-05,True,8192000000.0,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,59,d2-s7-r1-f002,7,1,2,0.000105,7->0->1,1->0->7,2,nan,False,nan,30,26,0.8666666666666667,4,15.0,8,60,52,3,2,9,0,0,0
2,60,d2-s7-r1-f003,7,1,3,0.000105,7->0->1,1->0->7,2,nan,False,nan,32,26,0.8125,6,,12,64,52,2,0,9,0,0,0
2,61,d2-s7-r1-f004,7,1,4,0.000105,7->0->1,1->0->7,2,nan,False,nan,32,24,0.75,8,,16,64,48,1,0,8,0,0,0
2,62,d2-s7-r1-f005,7,1,5,0.000105,7->0->1,1->0->7,2,nan,False,nan,32,25,0.78125,7,,14,64,50,0,0,9,0,0,0
2,63,d2-s7-r1-f006,7,1,6,0.000105,7->0->1,1->0->7,2,nan,False,nan,30,22,0.7333333333333333,8,15.0,16,60,44,4,2,5,0,0,0
2,64,d2-s7-r1-f007,7,1,7,0.000105,7->0->1,1->0->7,2,nan,False,nan,29,23,0.7931034482758621,6,9.666666666666666,12,58,46,3,3,7,0,0,0
