distance,flow_id,name,sender,receiver,replica,start_s,data_path,credit_path,credit_hops,fct_s,completed,goodput_bps,credits_sent,credits_received,credit_delivery_ratio,credit_loss_proxy,credit_tax,lost_credit_hop_cost_proxy,credit_hop_cost_sent,credit_hop_cost_received,data_packets_sent,data_packets_received,duplicate_credits,duplicate_data,timeouts,retransmissions
2,1,d2-s0-r2-f000,0,2,0,0.000105,0->1->2,2->1->0,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,2,d2-s0-r2-f001,0,2,1,0.000105,0->1->2,2->1->0,2,1.6e-05,True,8192000000.0,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,3,d2-s0-r2-f002,0,2,2,0.000105,0->1->2,2->1->0,2,nan,False,nan,30,26,0.8666666666666667,4,15.0,8,60,52,3,2,9,0,0,0
2,4,d2-s0-r2-f003,0,2,3,0.000105,0->1->2,2->1->0,2,nan,False,nan,32,27,0.84375,5,,10,64,54,2,0,9,0,0,0
2,5,d2-s0-r2-f004,0,2,4,0.000105,0->1->2,2->1->0,2,nan,False,nan,32,25,0.78125,7,,14,64,50,1,0,9,0,0,0
2,6,d2-s0-r2-f005,0,2,5,0.000105,0->1->2,2->1->0,2,nan,False,nan,32,25,0.78125,7,,14,64,50,0,0,9,0,0,0
2,7,d2-s0-r2-f006,0,2,6,0.000105,0->1->2,2->1->0,2,nan,False,nan,30,23,0.7666666666666667,7,15.0,14,60,46,4,2,6,0,0,0
2,8,d2-s0-r2-f007,0,2,7,0.000105,0->1->2,2->1->0,2,nan,False,nan,29,24,0.8275862068965517,5,9.666666666666666,10,58,48,3,3,8,0,0,0
2,9,d2-s1-r3-f000,1,3,0,0.000105,1->2->3,3->2->1,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,10,d2-s1-r3-f001,1,3,1,0.000105,1->2->3,3->2->1,2,1.6e-05,True,8192000000.0,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,11,d2-s1-r3-f002,1,3,2,0.000105,1->2->3,3->2->1,2,nan,False,nan,30,26,0.8666666666666667,4,15.0,8,60,52,3,2,10,0,0,0
2,12,d2-s1-r3-f003,1,3,3,0.000105,1->2->3,3->2->1,2,nan,False,nan,32,29,0.90625,3,,6,64,58,2,0,11,0,0,0
2,13,d2-s1-r3-f004,1,3,4,0.000105,1->2->3,3->2->1,2,nan,False,nan,32,26,0.8125,6,,12,64,52,1,0,9,0,0,0
2,14,d2-s1-r3-f005,1,3,5,0.000105,1->2->3,3->2->1,2,nan,False,nan,32,25,0.78125,7,,14,64,50,0,0,9,0,0,0
2,15,d2-s1-r3-f006,1,3,6,0.000105,1->2->3,3->2->1,2,nan,False,nan,30,23,0.7666666666666667,7,15.0,14,60,46,4,2,6,0,0,0
2,16,d2-s1-r3-f007,1,3,7,0.000105,1->2->3,3->2->1,2,nan,False,nan,29,24,0.8275862068965517,5,9.666666666666666,10,58,48,3,3,8,0,0,0
2,17,d2-s2-r4-f000,2,4,0,0.000105,2->3->4,4->3->2,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,18,d2-s2-r4-f001,2,4,1,0.000105,2->3->4,4->3->2,2,1.6e-05,True,8192000000.0,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,19,d2-s2-r4-f002,2,4,2,0.000105,2->3->4,4->3->2,2,nan,False,nan,30,27,0.9,3,15.0,6,60,54,3,2,10,0,0,0
2,20,d2-s2-r4-f003,2,4,3,0.000105,2->3->4,4->3->2,2,nan,False,nan,32,27,0.84375,5,,10,64,54,2,0,10,0,0,0
2,21,d2-s2-r4-f004,2,4,4,0.000105,2->3->4,4->3->2,2,nan,False,nan,32,26,0.8125,6,,12,64,52,1,0,9,0,0,0
2,22,d2-s2-r4-f005,2,4,5,0.000105,2->3->4,4->3->2,2,nan,False,nan,32,25,0.78125,7,,14,64,50,0,0,9,0,0,0
2,23,d2-s2-r4-f006,2,4,6,0.000105,2->3->4,4->3->2,2,nan,False,nan,30,24,0.8,6,15.0,12,60,48,4,2,6,0,0,0
2,24,d2-s2-r4-f007,2,4,7,0.000105,2->3->4,4->3->2,2,nan,False,nan,29,22,0.7586206896551724,7,9.666666666666666,14,58,44,3,3,6,0,0,0
2,25,d2-s3-r5-f000,3,5,0,0.000105,3->4->5,5->4->3,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,26,d2-s3-r5-f001,3,5,1,0.000105,3->4->5,5->4->3,2,1.6e-05,True,8192000000.0,16,16,1.0,0,1.0,0,32,32,16,16,0,0,0,0
2,27,d2-s3-r5-f002,3,5,2,0.000105,3->4->5,5->4->3,2,nan,False,nan,30,27,0.9,3,15.0,6,60,54,3,2,10,0,0,0
2,28,d2-s3-r5-f003,3,5,3,0.000105,3->4->5,5->4->3,2,nan,False,nan,32,27,0.84375,5,,10,64,54,2,0,9,0,0,0
2,29,d2-s3-r5-f004,3,5,4,0.000105,3->4->5,5->4->3,2,nan,False,nan,32,25,0.78125,7,,14,64,50,1,0,8,0,0,0
2,30,d2-s3-r5-f005,3,5,5,0.000105,3->4->5,5->4->3,2,nan,False,nan,32,25,0.78125,7,,14,64,50,0,0,9,0,0,0
2,31,d2-s3-r5-f006,3,5,6,0.000105,3->4->5,5->4->3,2,nan,False,nan,30,23,0.7666666666666667,7,15.0,14,60,46,4,2,5,0,0,0
2,32,d2-s3-r5-f007,3,5,7,0.000105,3->4->5,5->4->3,2,nan,False,nan,29,21,0.7241379310344828,8,9.666666666666666,16,58,42,3,3,6,0,0,0
