distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
4,0,33,132,132,33,0,0,64,0,0,64,0,0,0,0
4,1,33,132,132,33,0,0,64,0,0,64,0,0,0,0
4,2,33,132,132,33,0,0,64,0,0,64,0,0,0,0
4,3,33,132,132,33,0,0,64,0,0,64,0,0,0,0
4,4,33,132,132,33,0,0,64,0,0,64,0,0,0,0
4,5,33,132,132,33,0,0,64,0,0,64,0,0,0,0
4,6,33,132,132,33,0,0,64,0,0,64,0,0,0,0
4,7,33,132,132,33,0,0,64,0,0,64,0,0,0,0
