distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
1,0,258,229,229,229,29,0,182,29,0,45,0,0,0,0
1,1,258,229,229,229,29,0,182,29,0,45,0,0,0,0
1,2,258,229,229,229,29,0,182,29,0,45,0,0,0,0
1,3,258,229,229,229,29,0,182,29,0,45,0,0,0,0
1,4,258,229,229,229,29,0,182,29,0,45,0,0,0,0
1,5,258,229,229,229,29,0,182,29,0,45,0,0,0,0
1,6,258,229,229,229,29,0,182,29,0,45,0,0,0,0
1,7,258,229,229,229,29,0,182,29,0,45,0,0,0,0
