distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
1,0,17,17,17,17,0,0,8,0,0,8,0,0,0,0
1,1,17,17,17,17,0,0,8,0,0,8,0,0,0,0
1,2,17,17,17,17,0,0,8,0,0,8,0,0,0,0
1,3,17,17,17,17,0,0,8,0,0,8,0,0,0,0
1,4,17,17,17,17,0,0,8,0,0,8,0,0,0,0
1,5,17,17,17,17,0,0,8,0,0,8,0,0,0,0
1,6,17,17,17,17,0,0,8,0,0,8,0,0,0,0
1,7,17,17,17,17,0,0,8,0,0,8,0,0,0,0
