distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
2,0,49,98,98,49,0,0,48,0,0,48,0,0,0,0
2,1,49,98,98,49,0,0,48,0,0,48,0,0,0,0
2,2,49,98,98,49,0,0,48,0,0,48,0,0,0,0
2,3,49,98,98,49,0,0,48,0,0,48,0,0,0,0
2,4,49,98,98,49,0,0,48,0,0,48,0,0,0,0
2,5,49,98,98,49,0,0,48,0,0,48,0,0,0,0
2,6,49,98,98,49,0,0,48,0,0,48,0,0,0,0
2,7,49,98,98,49,0,0,48,0,0,48,0,0,0,0
