distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
2,0,33,66,66,33,0,0,32,0,0,32,0,0,0,0
2,1,33,66,66,33,0,0,32,0,0,32,0,0,0,0
2,2,33,66,66,33,0,0,32,0,0,32,0,0,0,0
2,3,33,66,66,33,0,0,32,0,0,32,0,0,0,0
2,4,33,66,66,33,0,0,32,0,0,32,0,0,0,0
2,5,33,66,66,33,0,0,32,0,0,32,0,0,0,0
2,6,33,66,66,33,0,0,32,0,0,32,0,0,0,0
2,7,33,66,66,33,0,0,32,0,0,32,0,0,0,0
