distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
4,0,17,68,68,17,0,0,32,0,0,32,0,0,0,0
4,1,17,68,68,17,0,0,32,0,0,32,0,0,0,0
4,2,17,68,68,17,0,0,32,0,0,32,0,0,0,0
4,3,17,68,68,17,0,0,32,0,0,32,0,0,0,0
4,4,17,68,68,17,0,0,32,0,0,32,0,0,0,0
4,5,17,68,68,17,0,0,32,0,0,32,0,0,0,0
4,6,17,68,68,17,0,0,32,0,0,32,0,0,0,0
4,7,17,68,68,17,0,0,32,0,0,32,0,0,0,0
