distance,flow_id,name,sender,receiver,replica,start_s,data_path,credit_path,credit_hops,fct_s,completed,goodput_bps,credits_sent,credits_received,credit_delivery_ratio,credit_loss_proxy,credit_tax,lost_credit_hop_cost_proxy,credit_hop_cost_sent,credit_hop_cost_received,data_packets_sent,data_packets_received,duplicate_credits,duplicate_data,timeouts,retransmissions
4,1,d4-s0-r4-f000,0,4,0,0.000105,0->1->2->3->4,4->5->6->7->0,4,2.4e-05,True,8192000000.0,24,24,1.0,0,1.0,0,96,96,24,24,0,0,0,0
4,2,d4-s1-r5-f000,1,5,0,0.000105,1->2->3->4->5,5->6->7->0->1,4,2.4e-05,True,8192000000.0,24,24,1.0,0,1.0,0,96,96,24,24,0,0,0,0
4,3,d4-s2-r6-f000,2,6,0,0.000105,2->3->4->5->6,6->7->0->1->2,4,2.4e-05,True,8192000000.0,24,24,1.0,0,1.0,0,96,96,24,24,0,0,0,0
4,4,d4-s3-r7-f000,3,7,0,0.000105,3->4->5->6->7,7->0->1->2->3,4,2.4e-05,True,8192000000.0,24,24,1.0,0,1.0,0,96,96,24,24,0,0,0,0
4,5,d4-s4-r0-f000,4,0,0,0.000105,4->5->6->7->0,0->1->2->3->4,4,2.4e-05,True,8192000000.0,24,24,1.0,0,1.0,0,96,96,24,24,0,0,0,0
4,6,d4-s5-r1-f000,5,1,0,0.000105,5->6->7->0->1,1->2->3->4->5,4,2.4e-05,True,8192000000.0,24,24,1.0,0,1.0,0,96,96,24,24,0,0,0,0
4,7,d4-s6-r2-f000,6,2,0,0.000105,6->7->0->1->2,2->3->4->5->6,4,2.4e-05,True,8192000000.0,24,24,1.0,0,1.0,0,96,96,24,24,0,0,0,0
4,8,d4-s7-r3-f000,7,3,0,0.000105,7->0->1->2->3,3->4->5->6->7,4,2.4e-05,True,8192000000.0,24,24,1.0,0,1.0,0,96,96,24,24,0,0,0,0
