distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
2,0,25,50,50,25,0,0,24,0,0,24,0,0,0,0
2,1,25,50,50,25,0,0,24,0,0,24,0,0,0,0
2,2,25,50,50,25,0,0,24,0,0,24,0,0,0,0
2,3,25,50,50,25,0,0,24,0,0,24,0,0,0,0
2,4,25,50,50,25,0,0,24,0,0,24,0,0,0,0
2,5,25,50,50,25,0,0,24,0,0,24,0,0,0,0
2,6,25,50,50,25,0,0,24,0,0,24,0,0,0,0
2,7,25,50,50,25,0,0,24,0,0,24,0,0,0,0
