distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
2,0,264,462,462,228,36,6,374,30,0,90,0,0,0,0
2,1,264,462,462,228,36,6,374,30,0,90,0,0,0,0
2,2,264,462,462,228,36,6,374,30,0,90,0,0,0,0
2,3,264,462,462,228,36,6,374,30,0,90,0,0,0,0
2,4,264,462,462,228,36,6,374,30,0,90,0,0,0,0
2,5,264,462,462,228,36,6,374,30,0,90,0,0,0,0
2,6,264,462,462,228,36,6,374,30,0,90,0,0,0,0
2,7,264,462,462,228,36,6,374,30,0,90,0,0,0,0
