distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
4,0,49,196,196,49,0,0,96,0,0,96,0,0,0,0
4,1,49,196,196,49,0,0,96,0,0,96,0,0,0,0
4,2,49,196,196,49,0,0,96,0,0,96,0,0,0,0
4,3,49,196,196,49,0,0,96,0,0,96,0,0,0,0
4,4,49,196,196,49,0,0,96,0,0,96,0,0,0,0
4,5,49,196,196,49,0,0,96,0,0,96,0,0,0,0
4,6,49,196,196,49,0,0,96,0,0,96,0,0,0,0
4,7,49,196,196,49,0,0,96,0,0,96,0,0,0,0
