distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
4,0,25,100,100,25,0,0,48,0,0,48,0,0,0,0
4,1,25,100,100,25,0,0,48,0,0,48,0,0,0,0
4,2,25,100,100,25,0,0,48,0,0,48,0,0,0,0
4,3,25,100,100,25,0,0,48,0,0,48,0,0,0,0
4,4,25,100,100,25,0,0,48,0,0,48,0,0,0,0
4,5,25,100,100,25,0,0,48,0,0,48,0,0,0,0
4,6,25,100,100,25,0,0,48,0,0,48,0,0,0,0
4,7,25,100,100,25,0,0,48,0,0,48,0,0,0,0
