distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
1,0,33,33,33,33,0,0,16,0,0,16,0,0,0,0
1,1,33,33,33,33,0,0,16,0,0,16,0,0,0,0
1,2,33,33,33,33,0,0,16,0,0,16,0,0,0,0
1,3,33,33,33,33,0,0,16,0,0,16,0,0,0,0
1,4,33,33,33,33,0,0,16,0,0,16,0,0,0,0
1,5,33,33,33,33,0,0,16,0,0,16,0,0,0,0
1,6,33,33,33,33,0,0,16,0,0,16,0,0,0,0
1,7,33,33,33,33,0,0,16,0,0,16,0,0,0,0
