distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
2,0,65,130,130,65,0,0,64,0,0,64,0,0,0,0
2,1,65,130,130,65,0,0,64,0,0,64,0,0,0,0
2,2,65,130,130,65,0,0,64,0,0,64,0,0,0,0
2,3,65,130,130,65,0,0,64,0,0,64,0,0,0,0
2,4,65,130,130,65,0,0,64,0,0,64,0,0,0,0
2,5,65,130,130,65,0,0,64,0,0,64,0,0,0,0
2,6,65,130,130,65,0,0,64,0,0,64,0,0,0,0
2,7,65,130,130,65,0,0,64,0,0,64,0,0,0,0
