distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
1,0,25,25,25,25,0,0,12,0,0,12,0,0,0,0
1,1,25,25,25,25,0,0,12,0,0,12,0,0,0,0
1,2,25,25,25,25,0,0,12,0,0,12,0,0,0,0
1,3,25,25,25,25,0,0,12,0,0,12,0,0,0,0
1,4,25,25,25,25,0,0,12,0,0,12,0,0,0,0
1,5,25,25,25,25,0,0,12,0,0,12,0,0,0,0
1,6,25,25,25,25,0,0,12,0,0,12,0,0,0,0
1,7,25,25,25,25,0,0,12,0,0,12,0,0,0,0
