distance,flow_id,name,sender,receiver,replica,start_s,data_path,credit_path,credit_hops,fct_s,completed,goodput_bps,credits_sent,credits_received,credit_delivery_ratio,credit_loss_proxy,credit_tax,lost_credit_hop_cost_proxy,credit_hop_cost_sent,credit_hop_cost_received,data_packets_sent,data_packets_received,duplicate_credits,duplicate_data,timeouts,retransmissions
2,1,d2-s0-r2-f000,0,2,0,0.000105,0->1->2,2->1->0,2,1.6e-05,True,16384000000.0,32,32,1.0,0,1.0,0,64,64,32,32,0,0,0,0
2,2,d2-s1-r3-f000,1,3,0,0.000105,1->2->3,3->2->1,2,1.6e-05,True,16384000000.0,32,32,1.0,0,1.0,0,64,64,32,32,0,0,0,0
2,3,d2-s2-r4-f000,2,4,0,0.000105,2->3->4,4->3->2,2,1.6e-05,True,16384000000.0,32,32,1.0,0,1.0,0,64,64,32,32,0,0,0,0
2,4,d2-s3-r5-f000,3,5,0,0.000105,3->4->5,5->4->3,2,1.6e-05,True,16384000000.0,32,32,1.0,0,1.0,0,64,64,32,32,0,0,0,0
2,5,d2-s4-r6-f000,4,6,0,0.000105,4->5->6,6->5->4,2,1.6e-05,True,16384000000.0,32,32,1.0,0,1.0,0,64,64,32,32,0,0,0,0
2,6,d2-s5-r7-f000,5,7,0,0.000105,5->6->7,7->6->5,2,1.6e-05,True,16384000000.0,32,32,1.0,0,1.0,0,64,64,32,32,0,0,0,0
2,7,d2-s6-r0-f000,6,0,0,0.000105,6->7->0,0->7->6,2,1.6e-05,True,16384000000.0,32,32,1.0,0,1.0,0,64,64,32,32,0,0,0,0
2,8,d2-s7-r1-f000,7,1,0,0.000105,7->0->1,1->0->7,2,1.6e-05,True,16384000000.0,32,32,1.0,0,1.0,0,64,64,32,32,0,0,0,0
