distance,tor,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen,drop_forward_send_fail,drop_forward_cq,drop_adm_fail,drop_aeolus_unscheduled
1,0,65,65,65,65,0,0,32,0,0,32,0,0,0,0
1,1,65,65,65,65,0,0,32,0,0,32,0,0,0,0
1,2,65,65,65,65,0,0,32,0,0,32,0,0,0,0
1,3,65,65,65,65,0,0,32,0,0,32,0,0,0,0
1,4,65,65,65,65,0,0,32,0,0,32,0,0,0,0
1,5,65,65,65,65,0,0,32,0,0,32,0,0,0,0
1,6,65,65,65,65,0,0,32,0,0,32,0,0,0,0
1,7,65,65,65,65,0,0,32,0,0,32,0,0,0,0
