flow_id,name,group_name,hop_class,src,dst,data_path,credit_path,credit_hops,uses_bottleneck_tor1_to_tor2,start_s,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credit_loss_proxy,credit_delivery_ratio,credit_hop_cost_sent,credit_hop_cost_received,credit_hop_loss_cost,retransmissions,timeouts,duplicate_data,duplicate_credits,path_len_0,path_len_1,path_len_2,path_len_3
1,short-r0-near-000,short-r0-near,short,1,0,1->0,0->1,1,False,0.000105,nan,nan,4,4,8,4,4,0.5,8,4,4,0,0,0,0,4,0,0,0
2,short-r0-near-001,short-r0-near,short,1,0,1->0,0->1,1,False,0.000105,nan,nan,0,0,4,0,4,0.0,4,0,4,0,0,0,0,0,0,0,0
3,short-r1-near-000,short-r1-near,short,2,1,2->1,1->2,1,True,0.000105,nan,nan,4,4,8,4,4,0.5,8,4,4,0,0,0,0,4,0,0,0
4,short-r1-near-001,short-r1-near,short,2,1,2->1,1->2,1,True,0.000105,nan,nan,0,0,4,0,4,0.0,4,0,4,0,0,0,0,0,0,0,0
5,long-r0-far-000,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.000106,nan,nan,0,0,4,0,4,0.0,12,0,12,0,0,0,0,0,0,0,0
6,long-r0-far-001,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.000106,nan,nan,0,0,4,0,4,0.0,12,0,12,0,0,0,0,0,0,0,0
7,long-r1-far-000,long-r1-far,long,3,1,3->1,1->2->3,2,True,0.000106,nan,nan,0,0,4,0,4,0.0,8,0,8,0,0,0,0,0,0,0,0
8,long-r1-far-001,long-r1-far,long,3,1,3->1,1->2->3,2,True,0.000106,nan,nan,0,0,4,0,4,0.0,8,0,8,0,0,0,0,0,0,0,0
