flow_id,src,dst,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credits_admitted,credits_dropped,credits_wasted,retransmissions,timeouts,duplicate_data,duplicate_credits,path_len_1,path_len_2,path_len_3
1,0,1,0.001531,334421946.44023514,69,63,70,70,560,0,0,6,58,6,0,63,0,0
2,0,1,0.001531,334421946.44023514,69,63,70,70,560,0,0,6,58,6,0,63,0,0
3,0,1,0.001531,334421946.44023514,69,63,70,70,560,0,0,6,58,6,0,63,0,0
4,0,1,0.001531,334421946.44023514,69,63,70,70,560,0,0,6,58,6,0,63,0,0
5,0,1,0.001531,334421946.44023514,69,63,70,70,560,0,0,6,58,6,0,63,0,0
6,0,1,0.001531,334421946.44023514,69,63,70,70,560,0,0,6,58,6,0,63,0,0
7,0,1,0.001532,334203655.3524804,69,63,70,70,560,0,0,6,58,6,0,63,0,0
8,0,1,0.001532,334203655.3524804,69,63,70,70,560,0,0,6,58,6,0,63,0,0
