flow_id,src,dst,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credits_admitted,credits_dropped,credits_wasted,retransmissions,timeouts,duplicate_data,duplicate_credits,path_len_1,path_len_2,path_len_3
1,0,1,0.001421,360309641.09781843,69,63,70,70,543,20,0,6,59,6,0,63,0,0
2,0,1,0.001409,363378282.4698367,66,63,70,67,543,20,0,3,57,3,0,63,0,0
3,0,1,0.001406,364153627.31152207,66,63,70,67,543,20,0,3,57,3,0,63,0,0
4,0,1,0.001403,364932287.9543835,66,63,70,67,543,20,0,3,58,3,0,63,0,0
5,0,1,0.001421,360309641.09781843,69,63,70,70,543,20,0,6,59,6,0,63,0,0
6,0,1,0.001409,363378282.4698367,66,63,70,67,543,20,0,3,57,3,0,63,0,0
7,0,1,0.001807,283342556.7238517,67,63,72,68,543,20,0,4,58,3,0,63,0,0
8,0,1,0.001615,317027863.7770898,66,63,71,67,543,20,0,3,57,2,0,63,0,0
