flow_id,src,dst,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credits_admitted,credits_dropped,credits_wasted,retransmissions,timeouts,duplicate_data,duplicate_credits,path_len_1,path_len_2,path_len_3
1,0,2,0.001633,313533374.15799147,69,63,71,71,568,0,0,6,59,6,0,63,0,0
2,1,3,0.001633,313533374.15799147,69,63,71,71,568,0,0,6,59,6,0,63,0,0
3,0,2,0.001633,313533374.15799147,69,63,71,71,568,0,0,6,59,6,0,63,0,0
4,1,3,0.001633,313533374.15799147,69,63,71,71,568,0,0,6,59,6,0,63,0,0
5,0,2,0.001633,313533374.15799147,69,63,71,71,568,0,0,6,59,6,0,63,0,0
6,1,3,0.001633,313533374.15799147,69,63,71,71,568,0,0,6,59,6,0,63,0,0
7,0,2,0.001633,313533374.15799147,69,63,71,71,568,0,0,6,59,6,0,63,0,0
8,1,3,0.001633,313533374.15799147,69,63,71,71,568,0,0,6,59,6,0,63,0,0
