flow_id,src,dst,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credits_admitted,credits_dropped,credits_wasted,retransmissions,timeouts,duplicate_data,duplicate_credits,path_len_1,path_len_2,path_len_3
1,0,1,0.001602,319600499.3757803,66,63,71,67,536,32,0,3,57,3,0,63,0,0
2,0,1,0.001602,319600499.3757803,66,63,71,67,536,32,0,3,57,3,0,63,0,0
3,0,1,0.001602,319600499.3757803,66,63,71,67,536,32,0,3,57,3,0,63,0,0
4,0,1,0.001602,319600499.3757803,66,63,71,67,536,32,0,3,57,3,0,63,0,0
5,0,1,0.001602,319600499.3757803,66,63,71,67,536,32,0,3,57,3,0,63,0,0
6,0,1,0.001602,319600499.3757803,66,63,71,67,536,32,0,3,57,3,0,63,0,0
7,0,1,0.001602,319600499.3757803,66,63,71,67,536,32,0,3,57,3,0,63,0,0
8,0,1,0.001602,319600499.3757803,66,63,71,67,536,32,0,3,57,3,0,63,0,0
