flow_id,src,dst,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credits_admitted,credits_dropped,credits_wasted,retransmissions,timeouts,duplicate_data,duplicate_credits,path_len_1,path_len_2,path_len_3
1,0,1,0.001528,335078534.0314136,69,63,70,70,564,0,0,6,58,6,0,63,0,0
2,0,1,0.001633,313533374.15799147,69,63,71,71,564,0,0,6,60,6,0,63,0,0
3,0,1,0.00163,314110429.4478528,69,63,71,71,564,0,0,6,59,6,0,63,0,0
4,0,1,0.001595,321003134.79623824,70,63,70,70,564,0,0,7,59,6,0,63,0,0
5,0,1,0.001528,335078534.0314136,69,63,70,70,564,0,0,6,58,6,0,63,0,0
6,0,1,0.001633,313533374.15799147,69,63,71,71,564,0,0,6,60,6,0,63,0,0
7,0,1,0.00163,314110429.4478528,69,63,71,71,564,0,0,6,59,6,0,63,0,0
8,0,1,0.001595,321003134.79623824,70,63,70,70,564,0,0,7,59,6,0,63,0,0
